iter	Passed	Remaining
0	27	8171
1	56	8354
2	83	8267
3	114	8464
4	144	8541
5	173	8511
6	199	8370
7	226	8278
8	253	8201
9	278	8087
10	304	8000
11	334	8017
12	366	8092
13	396	8097
14	424	8064
15	450	7993
16	478	7963
17	506	7935
18	531	7855
19	561	7859
20	590	7849
21	614	7770
22	644	7758
23	675	7772
24	700	7705
25	729	7683
26	757	7660
27	783	7609
28	811	7585
29	839	7556
30	864	7501
31	890	7457
32	917	7425
33	944	7391
34	968	7335
35	988	7245
36	1009	7173
37	1039	7169
38	1071	7168
39	1100	7151
40	1128	7129
41	1155	7100
42	1180	7056
43	1204	7008
44	1231	6976
45	1256	6940
46	1281	6900
47	1307	6862
48	1327	6801
49	1353	6768
50	1380	6737
51	1404	6697
52	1431	6671
53	1461	6657
54	1489	6635
55	1518	6614
56	1543	6580
57	1567	6542
58	1594	6514
59	1623	6492
60	1648	6460
61	1675	6429
62	1700	6398
63	1731	6383
64	1758	6359
65	1786	6332
66	1817	6320
67	1842	6287
68	1865	6244
69	1892	6218
70	1915	6178
71	1940	6145
72	1968	6121
73	1995	6095
74	2023	6069
75	2050	6045
76	2075	6009
77	2102	5984
78	2128	5953
79	2155	5926
80	2182	5901
81	2205	5864
82	2232	5837
83	2258	5808
84	2286	5783
85	2311	5750
86	2340	5730
87	2371	5712
88	2400	5690
89	2426	5662
90	2453	5633
91	2476	5599
92	2502	5569
93	2530	5546
94	2558	5519
95	2586	5496
96	2614	5471
97	2641	5445
98	2668	5417
99	2699	5398
100	2726	5371
101	2750	5339
102	2775	5309
103	2804	5284
104	2829	5255
105	2851	5219
106	2879	5194
107	2905	5165
108	2934	5141
109	2961	5116
110	2990	5092
111	3012	5057
112	3040	5032
113	3065	5002
114	3092	4974
115	3123	4955
116	3152	4931
117	3178	4902
118	3205	4875
119	3231	4846
120	3258	4819
121	3282	4789
122	3309	4762
123	3337	4737
124	3363	4708
125	3392	4685
126	3420	4658
127	3445	4630
128	3473	4604
129	3494	4570
130	3523	4545
131	3550	4518
132	3577	4491
133	3603	4463
134	3633	4441
135	3658	4411
136	3688	4388
137	3714	4360
138	3738	4330
139	3765	4303
140	3793	4278
141	3817	4247
142	3843	4219
143	3871	4194
144	3898	4167
145	3924	4140
146	3955	4116
147	3982	4089
148	4006	4060
149	4033	4033
150	4060	4006
151	4085	3978
152	4112	3950
153	4140	3925
154	4166	3897
155	4197	3874
156	4226	3849
157	4252	3821
158	4279	3794
159	4307	3769
160	4332	3740
161	4356	3711
162	4385	3685
163	4413	3659
164	4438	3631
165	4465	3604
166	4492	3577
167	4515	3547
168	4540	3519
169	4563	3489
170	4592	3464
171	4619	3437
172	4645	3410
173	4672	3383
174	4702	3358
175	4728	3331
176	4754	3304
177	4780	3276
178	4808	3250
179	4834	3223
180	4860	3195
181	4884	3167
182	4909	3138
183	4931	3108
184	4955	3080
185	4986	3056
186	5017	3031
187	5046	3006
188	5069	2977
189	5098	2951
190	5124	2924
191	5149	2896
192	5179	2871
193	5205	2843
194	5230	2816
195	5251	2786
196	5279	2760
197	5305	2733
198	5336	2708
199	5364	2682
200	5391	2655
201	5416	2627
202	5444	2601
203	5467	2572
204	5495	2546
205	5520	2518
206	5547	2492
207	5573	2465
208	5601	2438
209	5633	2414
210	5661	2388
211	5689	2361
212	5716	2335
213	5743	2308
214	5769	2280
215	5798	2254
216	5825	2228
217	5853	2201
218	5880	2175
219	5907	2148
220	5932	2120
221	5960	2094
222	5988	2067
223	6015	2041
224	6042	2014
225	6070	1987
226	6094	1959
227	6123	1933
228	6152	1907
229	6179	1880
230	6206	1853
231	6228	1825
232	6255	1798
233	6283	1772
234	6308	1744
235	6335	1717
236	6361	1690
237	6388	1664
238	6417	1637
239	6443	1610
240	6466	1583
241	6492	1556
242	6519	1529
243	6544	1502
244	6571	1475
245	6597	1448
246	6622	1421
247	6649	1394
248	6676	1367
249	6705	1341
250	6730	1314
251	6755	1286
252	6780	1259
253	6807	1232
254	6836	1206
255	6863	1179
256	6886	1152
257	6916	1125
258	6942	1098
259	6966	1071
260	6994	1045
261	7015	1017
262	7044	991
263	7070	964
264	7095	937
265	7121	910
266	7148	883
267	7178	857
268	7202	829
269	7225	802
270	7249	775
271	7271	748
272	7298	721
273	7325	695
274	7352	668
275	7376	641
276	7400	614
277	7427	587
278	7452	560
279	7476	534
280	7500	507
281	7524	480
282	7549	453
283	7572	426
284	7597	399
285	7619	373
286	7642	346
287	7667	319
288	7692	292
289	7716	266
290	7741	239
291	7764	212
292	7786	186
293	7813	159
294	7838	132
295	7863	106
296	7889	79
297	7914	53
298	7940	26
299	7965	0
